Artist ID,Name,Nationality,Gender,Birth Year,Death Year
432,Jan Bontjes van Beek,German,Male,1899.0,1969.0
433,Chris Hendrik Beekman,Dutch,Male,1887.0,1964.0
434,Max Beerbohm,British,Male,1872.0,1956.0
436,Hedda Beese,German,Female,1944.0,Unknown
437,"Beggarstaffs (James Pryde, Scottish 1866-1941 & William Nicholson, British 1872-1949)",British,Gender unknown,1866.0,1949.0
438,Peter Behrens,German,Male,1868.0,1940.0
439,Edith Behring,Brazilian,Female,1916.0,1996.0
440,John Behringer,American,Male,1939.0,Unknown
441,J. J. Beljon,Dutch,Male,1922.0,2002.0
442,Alistair Macready Bell,Canadian,Male,1913.0,1997.0
443,Charles M. Bell,American,Male,1848.0,1893.0
444,Larry Bell,American,Male,1939.0,Unknown
445,Vanessa Bell,British,Female,1879.0,1961.0
446,William H. Bell,American,Male,1830.0,1910.0
447,Ross Bellah,American,Male,1907.0,2004.0
448,Joseph Bellanca,American,Male,1930.0,Unknown
449,John Bellany,British,Male,1942.0,2013.0
450,Rudolf Belling,German,Male,1886.0,1972.0
451,Mario Bellini,Italian,Male,1935.0,Unknown
452,Hans Bellmer,German,Male,1902.0,1975.0
453,Ernest J. Bellocq,American,Male,1873.0,1949.0
455,George Bellows,American,Male,1882.0,1925.0
456,Rossella Bellusci,Italian,Female,1947.0,Unknown
457,Giandomenico Belotti,Italian,Male,1922.0,Unknown
458,Christian Belpaire,Congolese,Male,1949.0,Unknown
459,Antoli Pawlowitsch Belski,Russian,Male,1896.0,1971.0
461,David Ben Shaul,Israeli,Male,Unknown,Unknown
462,Ahron Ben-Shmuel,American,Male,1903.0,1984.0
463,Ben-Zion,American,Male,1897.0,1987.0
464,Adolf Benca,American,Male,1959.0,Unknown
465,W. T. Benda,American,Male,1873.0,1948.0
466,C. Whitney Bender,American,Gender unknown,1929.0,Unknown
467,Niels Sylvester Bendtsen,Danish,Male,1943.0,Unknown
468,Nair Benedicto,Brazilian,Female,1940.0,Unknown
